id,имя,секция
1,шашлык куринные крылья,шашлык
2,шашлык неизвестный 1,шашлык
3,шашлык неизвестный 2,шашлык
4,шашлык люля-кебаб бараний,шашлык
5,рисовые ёжики,второе
6,суп неизвестный 1,супы
7,беляш 1,выпечка
8,беляш 2,выпечка
9,борщ,супы
10,пирожок с яблоком,выпечка
11,лагман,супы
12,сочник,выпечка
13,сосиска в тесте,выпечка
14,куринная ножка с картофельным пюре,второе
15,узбецский плов,второе
16,слойка с какао,выпечка
17,мини-пицца,выпечка
18,пельмешки,второе
19,шаурма,шаурма
20,треугольник,выпечка
21,лапша с курицей,супы
22,ватрушка,выпечка
23,элеш,выпечка
